timestamp;dataset;config;contamination_rate;purification_method;train_limit;n_train_original;n_contaminated;n_patches_removed;n_test;seed;knn_k;percentile_threshold;img_auroc;pix_auroc;pix_aupr;n_masks_found;auroc_delta_vs_clean;recovery_rate;pix_auroc_delta_vs_clean;pix_recovery_rate;inference_time_s
2026-02-18T04:44:30.086235;mvtec_AD/bottle;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;0;392;83;3;5;95;0.9786;0.9819;0.8088;63;0.0040;;-0.0020;;4.08
2026-02-18T04:44:36.529795;mvtec_AD/bottle;cont_0pct_oracle_patch;0.0;oracle_patch;10;10;0;0;83;3;5;95;0.9746;0.9838;0.8284;63;0.0000;;0.0000;;0.01
2026-02-18T04:44:45.476331;mvtec_AD/bottle;cont_30pct_none;0.3;none;10;10;3;0;83;3;5;95;0.9302;0.9690;0.7472;63;-0.0444;;-0.0148;;2.38
2026-02-18T04:44:56.258207;mvtec_AD/bottle;cont_30pct_ensemble_loo_mahal;0.3;ensemble_loo_mahal;10;10;3;392;83;3;5;95;0.9786;0.9790;0.7901;63;0.0040;1.0893;-0.0048;0.6733;4.40
2026-02-18T04:45:04.333462;mvtec_AD/bottle;cont_30pct_oracle_patch;0.3;oracle_patch;10;10;3;2352;83;3;5;95;0.9802;0.9830;0.8267;63;0.0056;1.1250;-0.0008;0.9430;1.67
2026-02-18T04:45:13.304512;mvtec_AD/bottle;cont_0pct_none;0.0;none;10;10;0;0;83;4;5;95;0.9881;0.9840;0.8246;63;;;;;2.38
2026-02-18T04:45:24.009063;mvtec_AD/bottle;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;0;392;83;4;5;95;0.9841;0.9822;0.8092;63;-0.0040;;-0.0018;;4.30
2026-02-18T04:45:30.425578;mvtec_AD/bottle;cont_0pct_oracle_patch;0.0;oracle_patch;10;10;0;0;83;4;5;95;0.9881;0.9840;0.8246;63;0.0000;;0.0000;;0.01
2026-02-18T04:45:39.227996;mvtec_AD/bottle;cont_30pct_none;0.3;none;10;10;3;0;83;4;5;95;0.9413;0.9731;0.7946;63;-0.0468;;-0.0109;;2.34
2026-02-18T04:45:50.605132;mvtec_AD/bottle;cont_30pct_ensemble_loo_mahal;0.3;ensemble_loo_mahal;10;10;3;392;83;4;5;95;0.9873;0.9802;0.8080;63;-0.0008;0.9831;-0.0038;0.6515;4.65
2026-02-18T04:45:58.789732;mvtec_AD/bottle;cont_30pct_oracle_patch;0.3;oracle_patch;10;10;3;2352;83;4;5;95;0.9889;0.9832;0.8224;63;0.0008;1.0169;-0.0008;0.9245;1.72
2026-02-18T04:46:16.225764;mvtec_AD/cable;cont_0pct_none;0.0;none;10;10;0;0;150;1;5;95;0.9462;0.9685;0.6726;92;;;;;4.27
2026-02-18T04:46:33.827560;mvtec_AD/cable;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;0;392;150;1;5;95;0.9395;0.9675;0.6594;92;-0.0067;;-0.0010;;5.91
2026-02-18T04:46:45.479088;mvtec_AD/cable;cont_0pct_oracle_patch;0.0;oracle_patch;10;10;0;0;150;1;5;95;0.9462;0.9685;0.6726;92;0.0000;;0.0000;;0.01
2026-02-18T04:47:01.643499;mvtec_AD/cable;cont_30pct_none;0.3;none;10;10;3;0;150;1;5;95;0.8928;0.8962;0.4377;92;-0.0534;;-0.0723;;4.33
2026-02-18T04:47:19.160700;mvtec_AD/cable;cont_30pct_ensemble_loo_mahal;0.3;ensemble_loo_mahal;10;10;3;392;150;1;5;95;0.9219;0.9114;0.4691;92;-0.0244;0.5439;-0.0572;0.2092;5.84
2026-02-18T04:47:34.022091;mvtec_AD/cable;cont_30pct_oracle_patch;0.3;oracle_patch;10;10;3;2352;150;1;5;95;0.9234;0.9661;0.6700;92;-0.0229;0.5719;-0.0024;0.9667;3.03
2026-02-18T04:47:50.062127;mvtec_AD/cable;cont_0pct_none;0.0;none;10;10;0;0;150;2;5;95;0.8714;0.9654;0.6670;92;;;;;4.33
2026-02-18T04:48:08.020269;mvtec_AD/cable;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;0;392;150;2;5;95;0.8619;0.9640;0.6515;92;-0.0096;;-0.0014;;6.12
2026-02-18T04:48:19.704850;mvtec_AD/cable;cont_0pct_oracle_patch;0.0;oracle_patch;10;10;0;0;150;2;5;95;0.8714;0.9654;0.6670;92;0.0000;;0.0000;;0.01
2026-02-18T04:48:35.747463;mvtec_AD/cable;cont_30pct_none;0.3;none;10;10;3;0;150;2;5;95;0.8988;0.8833;0.4273;92;0.0274;;-0.0820;;4.28
2026-02-18T04:48:53.564481;mvtec_AD/cable;cont_30pct_ensemble_loo_mahal;0.3;ensemble_loo_mahal;10;10;3;392;150;2;5;95;0.9185;0.9093;0.4877;92;0.0470;-0.7192;-0.0561;0.3163;5.84
2026-02-18T04:49:08.616743;mvtec_AD/cable;cont_30pct_oracle_patch;0.3;oracle_patch;10;10;3;2352;150;2;5;95;0.8876;0.9643;0.6661;92;0.0161;0.4110;-0.0011;0.9870;3.08
2026-02-18T04:49:24.656472;mvtec_AD/cable;cont_0pct_none;0.0;none;10;10;0;0;150;3;5;95;0.9312;0.9661;0.6783;92;;;;;4.33
2026-02-18T04:49:42.186609;mvtec_AD/cable;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;0;392;150;3;5;95;0.9241;0.9650;0.6673;92;-0.0071;;-0.0011;;5.81
2026-02-18T04:49:53.925325;mvtec_AD/cable;cont_0pct_oracle_patch;0.0;oracle_patch;10;10;0;0;150;3;5;95;0.9312;0.9661;0.6783;92;0.0000;;0.0000;;0.01
2026-02-18T04:50:10.020768;mvtec_AD/cable;cont_30pct_none;0.3;none;10;10;3;0;150;3;5;95;0.9040;0.8611;0.4272;92;-0.0272;;-0.1050;;4.41
2026-02-18T04:50:27.560184;mvtec_AD/cable;cont_30pct_ensemble_loo_mahal;0.3;ensemble_loo_mahal;10;10;3;392;150;3;5;95;0.9198;0.8980;0.4764;92;-0.0114;0.5793;-0.0680;0.3521;5.86
2026-02-18T04:50:42.220262;mvtec_AD/cable;cont_30pct_oracle_patch;0.3;oracle_patch;10;10;3;2352;150;3;5;95;0.9320;0.9662;0.6741;92;0.0007;1.0276;0.0001;1.0011;3.02
2026-02-18T04:50:58.185428;mvtec_AD/cable;cont_0pct_none;0.0;none;10;10;0;0;150;4;5;95;0.9303;0.9678;0.6773;92;;;;;4.19
2026-02-18T04:51:15.634570;mvtec_AD/cable;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;0;392;150;4;5;95;0.9226;0.9665;0.6635;92;-0.0077;;-0.0013;;5.82
2026-02-18T04:51:27.584766;mvtec_AD/cable;cont_0pct_oracle_patch;0.0;oracle_patch;10;10;0;0;150;4;5;95;0.9303;0.9678;0.6773;92;0.0000;;0.0000;;0.01
2026-02-18T04:51:43.568447;mvtec_AD/cable;cont_30pct_none;0.3;none;10;10;3;0;150;4;5;95;0.9215;0.8701;0.4263;92;-0.0088;;-0.0976;;4.31
2026-02-18T04:52:01.568588;mvtec_AD/cable;cont_30pct_ensemble_loo_mahal;0.3;ensemble_loo_mahal;10;10;3;392;150;4;5;95;0.9408;0.8973;0.4739;92;0.0105;2.1915;-0.0704;0.2785;5.95
2026-02-18T04:52:16.272923;mvtec_AD/cable;cont_30pct_oracle_patch;0.3;oracle_patch;10;10;3;2352;150;4;5;95;0.9368;0.9675;0.6703;92;0.0066;1.7447;-0.0002;0.9977;2.98
2026-02-18T04:52:32.316728;mvtec_AD/capsule;cont_0pct_none;0.0;none;10;10;0;0;132;0;5;95;0.8748;0.9834;0.5308;109;;;;;3.69
2026-02-18T04:52:48.505105;mvtec_AD/capsule;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;0;392;132;0;5;95;0.8636;0.9764;0.2651;109;-0.0112;;-0.0070;;5.60
2026-02-18T04:52:59.250389;mvtec_AD/capsule;cont_0pct_oracle_patch;0.0;oracle_patch;10;10;0;0;132;0;5;95;0.8748;0.9834;0.5308;109;0.0000;;0.0000;;0.01
2026-02-18T04:53:13.603089;mvtec_AD/capsule;cont_30pct_none;0.3;none;10;10;3;0;132;0;5;95;0.8209;0.9835;0.5382;109;-0.0538;;0.0001;;3.78
2026-02-18T04:53:30.108759;mvtec_AD/capsule;cont_30pct_ensemble_loo_mahal;0.3;ensemble_loo_mahal;10;10;3;392;132;0;5;95;0.8265;0.9768;0.2682;109;-0.0483;0.1037;-0.0066;54.9565;5.80
2026-02-18T04:53:43.365480;mvtec_AD/capsule;cont_30pct_oracle_patch;0.3;oracle_patch;10;10;3;2352;132;0;5;95;0.8600;0.9821;0.5192;109;-0.0148;0.7259;-0.0013;11.4762;2.64
2026-02-18T04:53:57.996002;mvtec_AD/capsule;cont_0pct_none;0.0;none;10;10;0;0;132;1;5;95;0.9218;0.9844;0.5435;109;;;;;3.93
2026-02-18T04:54:14.276289;mvtec_AD/capsule;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;0;392;132;1;5;95;0.8696;0.9761;0.2564;109;-0.0523;;-0.0083;;5.54
2026-02-18T04:54:24.923111;mvtec_AD/capsule;cont_0pct_oracle_patch;0.0;oracle_patch;10;10;0;0;132;1;5;95;0.9218;0.9844;0.5435;109;0.0000;;0.0000;;0.01
2026-02-18T04:54:39.380623;mvtec_AD/capsule;cont_30pct_none;0.3;none;10;10;3;0;132;1;5;95;0.8580;0.9836;0.5315;109;-0.0638;;-0.0008;;3.73
2026-02-18T04:54:55.589503;mvtec_AD/capsule;cont_30pct_ensemble_loo_mahal;0.3;ensemble_loo_mahal;10;10;3;392;132;1;5;95;0.8289;0.9762;0.2508;109;-0.0929;-0.4563;-0.0082;-8.7230;5.36
2026-02-18T04:55:08.971027;mvtec_AD/capsule;cont_30pct_oracle_patch;0.3;oracle_patch;10;10;3;2352;132;1;5;95;0.8704;0.9827;0.5290;109;-0.0515;0.1937;-0.0017;-1.0158;2.67
2026-02-18T04:55:23.435571;mvtec_AD/capsule;cont_0pct_none;0.0;none;10;10;0;0;132;2;5;95;0.8732;0.9831;0.5278;109;;;;;3.75
2026-02-18T04:55:39.393073;mvtec_AD/capsule;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;0;392;132;2;5;95;0.8696;0.9758;0.2446;109;-0.0036;;-0.0074;;5.40
2026-02-18T04:55:50.280619;mvtec_AD/capsule;cont_0pct_oracle_patch;0.0;oracle_patch;10;10;0;0;132;2;5;95;0.8732;0.9831;0.5278;109;0.0000;;0.0000;;0.01
2026-02-18T04:56:04.842226;mvtec_AD/capsule;cont_30pct_none;0.3;none;10;10;3;0;132;2;5;95;0.8345;0.9817;0.5136;109;-0.0387;;-0.0014;;3.85
2026-02-18T04:56:20.936168;mvtec_AD/capsule;cont_30pct_ensemble_loo_mahal;0.3;ensemble_loo_mahal;10;10;3;392;132;2;5;95;0.8400;0.9762;0.2471;109;-0.0331;0.1443;-0.0069;-3.9785;5.34
2026-02-18T04:56:34.177336;mvtec_AD/capsule;cont_30pct_oracle_patch;0.3;oracle_patch;10;10;3;2352;132;2;5;95;0.8867;0.9826;0.5250;109;0.0136;1.3505;-0.0005;0.6237;2.62
2026-02-18T04:56:48.631900;mvtec_AD/capsule;cont_0pct_none;0.0;none;10;10;0;0;132;3;5;95;0.8775;0.9826;0.5196;109;;;;;3.69
2026-02-18T04:57:04.698890;mvtec_AD/capsule;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;0;392;132;3;5;95;0.8771;0.9759;0.2480;109;-0.0004;;-0.0067;;5.40
2026-02-18T04:57:15.368387;mvtec_AD/capsule;cont_0pct_oracle_patch;0.0;oracle_patch;10;10;0;0;132;3;5;95;0.8775;0.9826;0.5196;109;0.0000;;0.0000;;0.01
2026-02-18T04:57:29.832241;mvtec_AD/capsule;cont_30pct_none;0.3;none;10;10;3;0;132;3;5;95;0.8177;0.9832;0.5352;109;-0.0598;;0.0006;;3.77
2026-02-18T04:57:46.018271;mvtec_AD/capsule;cont_30pct_ensemble_loo_mahal;0.3;ensemble_loo_mahal;10;10;3;392;132;3;5;95;0.8297;0.9768;0.2523;109;-0.0479;0.2000;-0.0058;11.2699;5.62
